alpha3,four_regions
AUS,asia
BRN,asia
KHM,asia
CHN,asia
FJI,asia
HKG,asia
IDN,asia
JPN,asia
KIR,asia
PRK,asia
KOR,asia
LAO,asia
MYS,asia
MHL,asia
FSM,asia
MNG,asia
MMR,asia
NRU,asia
NZL,asia
PLW,asia
PNG,asia
PHL,asia
WSM,asia
SGP,asia
SLB,asia
TWN,asia
THA,asia
TLS,asia
TON,asia
TUV,asia
VUT,asia
VNM,asia
ALB,europe
AND,europe
ARM,europe
AUT,europe
AZE,europe
BLR,europe
BEL,europe
BIH,europe
BGR,europe
HRV,europe
CYP,europe
CZE,europe
DNK,europe
EST,europe
FIN,europe
FRA,europe
GEO,europe
DEU,europe
GRC,europe
HUN,europe
ISL,europe
IRL,europe
ITA,europe
KAZ,asia
KGZ,asia
LVA,europe
LIE,europe
LTU,europe
LUX,europe
MKD,europe
MDA,europe
MCO,europe
MNE,europe
NLD,europe
NOR,europe
POL,europe
PRT,europe
ROU,europe
RUS,europe
SMR,europe
SRB,europe
SVK,europe
SVN,europe
ESP,europe
SWE,europe
CHE,europe
TJK,asia
TUR,europe
TKM,asia
UKR,europe
GBR,europe
UZB,asia
ATG,americas
ARG,americas
BHS,americas
BRB,americas
BLZ,americas
BOL,americas
BRA,americas
CHL,americas
COL,americas
CRI,americas
CUB,americas
DMA,americas
DOM,americas
ECU,americas
SLV,americas
GRD,americas
GTM,americas
GUY,americas
HTI,americas
HND,americas
JAM,americas
MEX,americas
NIC,americas
PAN,americas
PRY,americas
PER,americas
KNA,americas
LCA,americas
VCT,americas
SUR,americas
TTO,americas
URY,americas
VEN,americas
DZA,africa
BHR,asia
DJI,africa
EGY,africa
IRN,asia
IRQ,asia
ISR,asia
JOR,asia
KWT,asia
LBN,asia
LBY,africa
MLT,europe
MAR,africa
OMN,asia
QAT,asia
SAU,asia
SYR,asia
TUN,africa
ARE,asia
PSE,asia
YEM,asia
CAN,americas
USA,americas
AFG,asia
BGD,asia
BTN,asia
IND,asia
MDV,asia
NPL,asia
PAK,asia
LKA,asia
AGO,africa
BEN,africa
BWA,africa
BFA,africa
BDI,africa
CMR,africa
CPV,africa
CAF,africa
TCD,africa
COM,africa
COD,africa
COG,africa
CIV,africa
GNQ,africa
ERI,africa
ETH,africa
GAB,africa
GMB,africa
GHA,africa
GIN,africa
GNB,africa
KEN,africa
LSO,africa
LBR,africa
MDG,africa
MWI,africa
MLI,africa
MRT,africa
MUS,africa
MOZ,africa
NAM,africa
NER,africa
NGA,africa
RWA,africa
STP,africa
SEN,africa
SYC,africa
SLE,africa
SOM,africa
ZAF,africa
SDN,africa
SWZ,africa
TZA,africa
TGO,africa
UGA,africa
ZMB,africa
ZWE,africa
SSD,africa
HOS,europe
